disease_id,disease_name,clinical_scope,body_system,overview,common_symptoms,red_flags,follow_up_questions,emergency_triggers,likely_causes_or_associations,student_context,triage_level_hint,triage_advice,self_care_guidance,referral_guidance,differential_considerations,source_note,validation_status
D0397,Lumbago,Musculoskeletal,Musculoskeletal,"Screening profile for Lumbago. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""hip pain"", ""side pain"", ""muscle pain"", ""low back cramps or spasms"", ""low back pain"", ""back pain"", ""leg pain"", ""pain"", ""swelling"", ""reduced movement"", ""tenderness""]","[""severe injury"", ""loss of movement"", ""numbness"", ""deformity"", ""severe back pain with weakness"", ""fever with joint pain""]","[""Are you experiencing hip pain?"", ""Are you experiencing side pain?"", ""Are you experiencing muscle pain?"", ""Are you experiencing low back cramps or spasms?"", ""Are you experiencing low back pain?"", ""Was there an injury, fall, or sports activity before symptoms started?"", ""Was there an injury or fall?"", ""Can the student move the affected area?"", ""Any numbness, weakness, swelling, or deformity?"", ""How severe is the pain?"", ""Is there fever with joint pain?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""severe injury"", ""loss of movement"", ""numbness"", ""deformity"", ""severe back pain with weakness""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Assess function, swelling, neurovascular symptoms, and trauma severity; refer urgently for deformity, numbness, or severe pain.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Lumbago"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0398,Hydrocephalus,Neurological,Neurological,"Screening profile for Hydrocephalus. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""abnormal involuntary movements"", ""lack of growth"", ""headache"", ""vomiting"", ""depressive or psychotic symptoms"", ""problems with movement"", ""seizures"", ""fever"", ""pain"", ""fatigue"", ""weakness""]","[""vomiting"", ""seizures"", ""severe pain"", ""confusion"", ""difficulty breathing"", ""fainting""]","[""Are you experiencing vomiting?"", ""Are you experiencing seizures?"", ""Are you experiencing abnormal involuntary movements?"", ""Are you experiencing lack of growth?"", ""Are you experiencing headache?"", ""Are you experiencing depressive or psychotic symptoms?"", ""When did symptoms start?"", ""Are symptoms worsening?"", ""Any fever, severe pain, or breathing difficulty?"", ""Any medication or allergy history?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""vomiting"", ""seizures"", ""severe pain"", ""confusion"", ""difficulty breathing""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Screen for severity, duration, red flags, and refer for clinical assessment when symptoms persist or worsen.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Hydrocephalus"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0399,Stomach Cancer,Gastrointestinal,Gastrointestinal,"Screening profile for Stomach Cancer. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""diarrhea"", ""difficulty in swallowing"", ""sharp abdominal pain"", ""nausea"", ""burning abdominal pain"", ""heartburn"", ""vomiting"", ""stomach pain"", ""loss of appetite""]","[""difficulty in swallowing"", ""sharp abdominal pain"", ""vomiting"", ""blood in stool"", ""severe dehydration"", ""persistent vomiting"", ""severe abdominal pain"", ""black stool"", ""fainting""]","[""Are you experiencing difficulty in swallowing?"", ""Are you experiencing sharp abdominal pain?"", ""Are you experiencing vomiting?"", ""Are you experiencing diarrhea?"", ""Are you experiencing nausea?"", ""Are you experiencing burning abdominal pain?"", ""How many times has the student vomited or passed stool today?"", ""Is there blood in stool or vomit?"", ""Can the student keep fluids down?"", ""Is the abdominal pain severe or localized?"", ""Any recent suspicious food or unsafe water exposure?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""difficulty in swallowing"", ""sharp abdominal pain"", ""vomiting"", ""blood in stool"", ""severe dehydration""]","[""contaminated food or water"", ""viral or bacterial gastroenteritis"", ""dietary irritation"", ""stress-related gut symptoms""]","Often linked to campus food, water quality, shared kitchens, and dehydration.",Routine to urgent depending on red flags,"Assess hydration and severity; refer urgently for blood in stool, persistent vomiting, severe pain, or dehydration signs.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Stomach Cancer"", ""Food poisoning"", ""Gastroenteritis"", ""Peptic ulcer/gastritis"", ""Appendicitis concern"", ""Dehydration""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0400,Conjunctivitis Due To Bacteria,Eye/Ear/Dental,Eye,"Screening profile for Conjunctivitis Due To Bacteria. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""abnormal appearing skin"", ""nasal congestion"", ""cough"", ""sore throat"", ""eye redness"", ""fever"", ""red eye"", ""itchy eyes"", ""eye discharge"", ""watery eyes"", ""eye pain"", ""ear pain"", ""tooth pain"", ""discharge""]","[""fever"", ""red eye"", ""itchy eyes"", ""vision loss"", ""severe eye pain"", ""facial swelling"", ""high fever"", ""ear discharge with severe pain"", ""dental swelling""]","[""Are you experiencing fever?"", ""Are you experiencing abnormal appearing skin?"", ""Are you experiencing nasal congestion?"", ""Are you experiencing cough?"", ""Are you experiencing sore throat?"", ""Are you experiencing eye redness?"", ""Is there pain, discharge, or swelling?"", ""Any vision loss or hearing loss?"", ""How long has it lasted?"", ""Any injury or foreign body?"", ""Any fever or facial swelling?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""fever"", ""red eye"", ""itchy eyes"", ""vision loss"", ""severe eye pain""]","[""infection"", ""allergy"", ""trauma"", ""poor dental hygiene"", ""irritant exposure""]","Common because of infections, allergies, screen use, noise exposure, and delayed dental care.",Routine to urgent depending on red flags,"Refer urgently for vision loss, severe eye pain, facial swelling, high fever, or severe dental infection signs.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Conjunctivitis Due To Bacteria"", ""Conjunctivitis"", ""Otitis media/externa"", ""Dental abscess concern"", ""Allergic eye disease""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0401,Celiac Disease,General/Other,General,"Screening profile for Celiac Disease. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""peripheral edema"", ""sharp chest pain"", ""sharp abdominal pain"", ""vomiting"", ""regurgitation.1"", ""nausea"", ""fever"", ""pain"", ""fatigue"", ""weakness"", ""headache""]","[""sharp chest pain"", ""sharp abdominal pain"", ""vomiting"", ""severe pain"", ""confusion"", ""difficulty breathing"", ""fainting""]","[""Are you experiencing sharp chest pain?"", ""Are you experiencing sharp abdominal pain?"", ""Are you experiencing vomiting?"", ""Are you experiencing peripheral edema?"", ""Are you experiencing regurgitation.1?"", ""How long have the symptoms been present?"", ""When did symptoms start?"", ""Are symptoms worsening?"", ""Any fever, severe pain, or breathing difficulty?"", ""Any medication or allergy history?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""sharp chest pain"", ""sharp abdominal pain"", ""vomiting"", ""severe pain"", ""confusion""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Screen for severity, duration, red flags, and refer for clinical assessment when symptoms persist or worsen.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Celiac Disease"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0402,Chronic Knee Pain,Musculoskeletal,Musculoskeletal,"Screening profile for Chronic Knee Pain. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""knee pain"", ""back pain"", ""leg pain"", ""knee swelling"", ""knee weakness"", ""leg swelling"", ""knee stiffness or tightness"", ""hip pain"", ""joint pain"", ""pain"", ""swelling"", ""reduced movement"", ""tenderness""]","[""severe injury"", ""loss of movement"", ""numbness"", ""deformity"", ""severe back pain with weakness"", ""fever with joint pain""]","[""Are you experiencing knee pain?"", ""Are you experiencing back pain?"", ""Are you experiencing leg pain?"", ""Are you experiencing knee swelling?"", ""Are you experiencing knee weakness?"", ""Was there an injury, fall, or sports activity before symptoms started?"", ""Was there an injury or fall?"", ""Can the student move the affected area?"", ""Any numbness, weakness, swelling, or deformity?"", ""How severe is the pain?"", ""Is there fever with joint pain?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""severe injury"", ""loss of movement"", ""numbness"", ""deformity"", ""severe back pain with weakness""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Assess function, swelling, neurovascular symptoms, and trauma severity; refer urgently for deformity, numbness, or severe pain.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Chronic Knee Pain"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0403,Pericarditis,Cardiovascular,Cardiovascular,"Screening profile for Pericarditis. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""palpitations"", ""lower body pain"", ""chest tightness"", ""sharp abdominal pain"", ""shortness of breath"", ""sharp chest pain"", ""chest pain"", ""dizziness"", ""fatigue""]","[""chest tightness"", ""sharp abdominal pain"", ""shortness of breath"", ""sharp chest pain"", ""severe chest pain"", ""fainting"", ""very high blood pressure"", ""low spo2"", ""sudden weakness"", ""severe shortness of breath""]","[""Are you experiencing chest tightness?"", ""Are you experiencing sharp abdominal pain?"", ""Are you experiencing shortness of breath?"", ""Are you experiencing palpitations?"", ""Are you experiencing lower body pain?"", ""Do you have chest pain, fainting, or palpitations?"", ""Is chest pain present?"", ""Any shortness of breath, fainting, or palpitations?"", ""What is the blood pressure reading?"", ""Any known heart condition?"", ""Did symptoms start during exertion?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""chest tightness"", ""sharp abdominal pain"", ""shortness of breath"", ""sharp chest pain"", ""severe chest pain""]","[""high blood pressure"", ""stress or exertion"", ""underlying heart rhythm problem"", ""metabolic risk factors""]","Important for screening severe BP readings, stress-related symptoms, and emergency warning signs.",Routine to urgent depending on red flags,"Treat chest pain, fainting, severe shortness of breath, or very high BP as urgent referral triggers.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Pericarditis"", ""Hypertension"", ""Arrhythmia/palpitations"", ""Angina concern"", ""Panic-related chest tightness""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0404,Mastoiditis,Respiratory/ENT,Respiratory,"Screening profile for Mastoiditis. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""diminished hearing"", ""nasal congestion"", ""cough"", ""dizziness"", ""ear pain"", ""facial pain"", ""sore throat"", ""runny nose"", ""catarrh"", ""sneezing""]","[""difficulty breathing"", ""chest pain"", ""blue lips"", ""low spo2"", ""coughing blood"", ""severe wheezing""]","[""Are you experiencing diminished hearing?"", ""Are you experiencing nasal congestion?"", ""Are you experiencing cough?"", ""Are you experiencing dizziness?"", ""Are you experiencing ear pain?"", ""How many days have you had the respiratory symptoms?"", ""How long has the cough or throat symptom been present?"", ""Is there fever, chills, or body pain?"", ""Is there shortness of breath or chest pain?"", ""Is the cough dry or productive?"", ""Has the student had contact with someone with similar symptoms?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""difficulty breathing"", ""chest pain"", ""blue lips"", ""low spo2"", ""coughing blood""]","[""viral upper respiratory infection"", ""allergy or irritant exposure"", ""bacterial infection in selected cases"", ""close-contact transmission in hostels/classrooms""]","Common in crowded lecture halls, hostels, shared transport, and during seasonal outbreaks.",Routine to urgent depending on red flags,"Screen for respiratory red flags, check temperature and SpO₂, and refer promptly if breathing difficulty, chest pain, low oxygen, or persistent high fever is present.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Mastoiditis"", ""Common cold"", ""Influenza-like illness"", ""COVID-like illness"", ""Allergic rhinitis"", ""Pneumonia"", ""Asthma-like episode""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0405,Subarachnoid Hemorrhage,Neurological,Neurological,"Screening profile for Subarachnoid Hemorrhage. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""symptoms of eye"", ""vomiting"", ""fainting"", ""loss of sensation"", ""dizziness"", ""headache"", ""fever"", ""pain"", ""fatigue"", ""weakness""]","[""vomiting"", ""fainting"", ""loss of sensation"", ""severe pain"", ""confusion"", ""difficulty breathing""]","[""Are you experiencing vomiting?"", ""Are you experiencing fainting?"", ""Are you experiencing loss of sensation?"", ""Are you experiencing symptoms of eye?"", ""Are you experiencing dizziness?"", ""Do you have severe headache, weakness, seizures, or confusion?"", ""When did symptoms start?"", ""Are symptoms worsening?"", ""Any fever, severe pain, or breathing difficulty?"", ""Any medication or allergy history?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""vomiting"", ""fainting"", ""loss of sensation"", ""severe pain"", ""confusion""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Screen for severity, duration, red flags, and refer for clinical assessment when symptoms persist or worsen.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Subarachnoid Hemorrhage"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0406,Cerebral Palsy,Neurological,Neurological,"Screening profile for Cerebral Palsy. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""infant feeding problem"", ""blindness"", ""lack of growth"", ""cramps and spasms"", ""problems with movement"", ""seizures"", ""fever"", ""pain"", ""fatigue"", ""weakness"", ""headache""]","[""seizures"", ""severe pain"", ""confusion"", ""difficulty breathing"", ""fainting""]","[""Are you experiencing seizures?"", ""Are you experiencing infant feeding problem?"", ""Are you experiencing blindness?"", ""Are you experiencing lack of growth?"", ""Are you experiencing cramps and spasms?"", ""Are you experiencing problems with movement?"", ""When did symptoms start?"", ""Are symptoms worsening?"", ""Any fever, severe pain, or breathing difficulty?"", ""Any medication or allergy history?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""seizures"", ""severe pain"", ""confusion"", ""difficulty breathing"", ""fainting""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Screen for severity, duration, red flags, and refer for clinical assessment when symptoms persist or worsen.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Cerebral Palsy"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0407,Hidradenitis Suppurativa,Dermatology,Dermatology,"Screening profile for Hidradenitis Suppurativa. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""groin mass"", ""skin lesion"", ""skin swelling"", ""arm pain"", ""skin growth"", ""skin rash"", ""rash"", ""itching"", ""skin redness"", ""swelling"", ""pain""]","[""rapidly spreading rash"", ""facial swelling"", ""difficulty breathing"", ""skin peeling"", ""fever with rash"", ""severe pain""]","[""Are you experiencing groin mass?"", ""Are you experiencing skin lesion?"", ""Are you experiencing skin swelling?"", ""Are you experiencing arm pain?"", ""Are you experiencing skin growth?"", ""Is the skin problem spreading, painful, or producing discharge?"", ""Where is the rash located?"", ""Is it itchy, painful, blistering, or spreading?"", ""Any fever or facial swelling?"", ""Any new food, drug, cosmetic, or insect exposure?"", ""Are roommates or close contacts affected?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""rapidly spreading rash"", ""facial swelling"", ""difficulty breathing"", ""skin peeling"", ""fever with rash""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Check for allergic reaction, infection spread, fever, and severe pain; refer urgently for breathing symptoms or rapidly spreading rash.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Hidradenitis Suppurativa"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0408,Subdural Hemorrhage,Neurological,Neurological,"Screening profile for Subdural Hemorrhage. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""irritable infant"", ""dizziness"", ""vomiting"", ""facial pain"", ""depressive or psychotic symptoms"", ""headache"", ""fever"", ""pain"", ""fatigue"", ""weakness""]","[""vomiting"", ""severe pain"", ""confusion"", ""difficulty breathing"", ""fainting""]","[""Are you experiencing vomiting?"", ""Are you experiencing irritable infant?"", ""Are you experiencing dizziness?"", ""Are you experiencing facial pain?"", ""Are you experiencing depressive or psychotic symptoms?"", ""Do you have severe headache, weakness, seizures, or confusion?"", ""When did symptoms start?"", ""Are symptoms worsening?"", ""Any fever, severe pain, or breathing difficulty?"", ""Any medication or allergy history?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""vomiting"", ""severe pain"", ""confusion"", ""difficulty breathing"", ""fainting""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Screen for severity, duration, red flags, and refer for clinical assessment when symptoms persist or worsen.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Subdural Hemorrhage"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0409,Abdominal Aortic Aneurysm,Gastrointestinal,Gastrointestinal,"Screening profile for Abdominal Aortic Aneurysm. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""palpitations"", ""burning abdominal pain"", ""arm swelling"", ""shortness of breath"", ""sharp abdominal pain"", ""back pain"", ""stomach pain"", ""diarrhea"", ""vomiting"", ""nausea"", ""loss of appetite""]","[""shortness of breath"", ""sharp abdominal pain"", ""blood in stool"", ""severe dehydration"", ""persistent vomiting"", ""severe abdominal pain"", ""black stool"", ""fainting""]","[""Are you experiencing shortness of breath?"", ""Are you experiencing sharp abdominal pain?"", ""Are you experiencing palpitations?"", ""Are you experiencing burning abdominal pain?"", ""Are you experiencing arm swelling?"", ""Was there an injury, fall, or sports activity before symptoms started?"", ""How many times has the student vomited or passed stool today?"", ""Is there blood in stool or vomit?"", ""Can the student keep fluids down?"", ""Is the abdominal pain severe or localized?"", ""Any recent suspicious food or unsafe water exposure?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""shortness of breath"", ""sharp abdominal pain"", ""blood in stool"", ""severe dehydration"", ""persistent vomiting""]","[""contaminated food or water"", ""viral or bacterial gastroenteritis"", ""dietary irritation"", ""stress-related gut symptoms""]","Often linked to campus food, water quality, shared kitchens, and dehydration.",Routine to urgent depending on red flags,"Assess hydration and severity; refer urgently for blood in stool, persistent vomiting, severe pain, or dehydration signs.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Abdominal Aortic Aneurysm"", ""Food poisoning"", ""Gastroenteritis"", ""Peptic ulcer/gastritis"", ""Appendicitis concern"", ""Dehydration""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0410,Cellulitis Or Abscess Of Mouth,Dermatology/Skin,Dermatology,"Screening profile for Cellulitis Or Abscess Of Mouth. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""throat swelling"", ""abnormal appearing skin"", ""sore throat"", ""lip swelling"", ""skin growth"", ""toothache"", ""difficulty in swallowing"", ""rash"", ""itching"", ""skin redness"", ""swelling"", ""pain""]","[""throat swelling"", ""difficulty in swallowing"", ""rapidly spreading rash"", ""facial swelling"", ""difficulty breathing"", ""skin peeling"", ""fever with rash"", ""severe pain""]","[""Are you experiencing throat swelling?"", ""Are you experiencing difficulty in swallowing?"", ""Are you experiencing abnormal appearing skin?"", ""Are you experiencing sore throat?"", ""Are you experiencing lip swelling?"", ""Are you experiencing skin growth?"", ""Where is the rash located?"", ""Is it itchy, painful, blistering, or spreading?"", ""Any fever or facial swelling?"", ""Any new food, drug, cosmetic, or insect exposure?"", ""Are roommates or close contacts affected?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""throat swelling"", ""difficulty in swallowing"", ""rapidly spreading rash"", ""facial swelling"", ""difficulty breathing""]","[""fungal infection"", ""allergy/irritant exposure"", ""close-contact spread"", ""poor ventilation or shared items""]","Can spread through close contact, shared clothing/towels, sports, or hostel living.",Routine to urgent depending on red flags,"Check for allergic reaction, infection spread, fever, and severe pain; refer urgently for breathing symptoms or rapidly spreading rash.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Cellulitis Or Abscess Of Mouth"", ""Allergic rash"", ""Fungal infection"", ""Scabies"", ""Cellulitis"", ""Eczema/dermatitis""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
